Plato,Nombre API,Calorías (kcal),Grasas (g),Carbohidratos (g),Proteínas (g),Ingredientes,URL_Receta
Apple pie,Apple Pie,265.0,12.5,37.1,2.4,"- apples (2 Red apples, cored, peeled and cut into 4 slices)
- greek yogurt (1 cup vanilla greek yogurt)
- lemon juice (1 tablespoon lemon juice)
- brown sugar (2 tablespoons brown sugar)
- pie spice (1 1/2 teaspoons Apple pie spice)
- cinnamon (1/2 teaspoon cinnamon)
- ice (2 cups ice)",https://food52.com/recipes/55787-apple-pie-smoothie
Baby back ribs,Baby Back Ribs,210.0,15.0,4.0,17.0,"- baby back ribs (1 or 2 racks baby back ribs, 2 1/2 to 3 1/2 pounds total)
- apple juice (4 cups apple juice)
- cider vinegar (1/2 cup cider vinegar)
- barbecue sauce (1/2 cup favorite barbecue sauce)",https://www.epicurious.com/recipes/food/views/bbq-baby-back-ribs
Baklava,Baklava,5246.0,355.81,461.09,82.12,"- granulated sugar (2 cups granulated sugar (14 ounces; 400g))
- water (1 cup (240ml) water)
- lemon juice (1 teaspoons (5ml) fresh lemon juice)
- orange blossom water (1/2 teaspoon orange blossom water)
- pistachios (2 1/2 cups shelled raw unsalted pistachios (12 1/2 ounces; 354g))
- unsalted butter (8 ounces unsalted butter (2 sticks; 226g), melted)
- granulated sugar (2 tablespoons granulated sugar (1 ounce; 30g))
- phyllo dough (1 pound phyllo dough (16 ounces; 454g), thawed)",https://www.seriouseats.com/pistachio-baklava-recipe-7558447
Beef carpaccio,Carpaccio,119.0,2.62,0.0,22.31,"- olive oil (2 tbsp. olive oil)
- Parmesan cheese (1 oz. Parmesan cheese)
- beef (4 oz. beef carpaccio)",https://www.delish.com/cooking/recipe-ideas/recipes/a21849/carpaccio-potato-salad-recipe-del0813
Beef tartare,Steak Tartare (Raw Ground Beef and Egg),210.0,14.56,0.63,17.78,"- sirloin (1 1/2 pounds fatty sirloin or chuck, cut into 1-inch chunks)
- shallot (1 shallot, peeled)
- garlic (1 medium clove garlic, peeled)
- capers (1 tablespoon capers)
- anchovy fillets (2 anchovy fillets, optional)
- parsley (1/2 cup fresh parsley, chopped)
- tabasco sauce (1/2 teaspoon tabasco sauce, or more to taste)
- worcestershire sauce (2 teaspoons worcestershire sauce)
- Salt (Salt and pepper, to taste)
- pepper (Salt and pepper, to taste)",http://www.foodrepublic.com/2014/05/07/beef-tartare-burger-recipe
Beet salad,Russian Salad,1217.0,104.1,66.58,9.6,"- crackers (3-4 thin rye crackers)
- canned sardines (3-4 canned sardines, drained, or 3–4 oz. canned albacore tuna, drained)
- Mustard (1 tbsp Whole Grain Mustard Dressing)
- Caraway (½ cup leftover Beet Salad with Caraway and Almonds)
- Almonds (½ cup leftover Beet Salad with Caraway and Almonds)",https://www.bonappetit.com/recipe/sardines-rye-crackers-whole-grain-mustard-dressing
Beignets,Doughnut (Raised or Yeast),403.0,22.8,44.3,6.4,"- whole milk (1/2 cup whole milk)
- buttermilk (1/3 cup buttermilk)
- yeast (2 teaspoons active dry yeast)
- sugar (2 tablespoons plus 1 teaspoon sugar, divided)
- sugar (2 tablespoons plus 1 teaspoon sugar, divided)
- bread flour (1 3/4 cup bread flour)
- baking soda (1/2 teaspoon baking soda)
- salt (1/8 teaspoon salt)
- unsalted butter (2 tablespoons unsalted butter, at room temperature)
- confectioners' sugar (confectioners' sugar)
- heavy cream (3/4 cup heavy cream)
- sugar (1/2 cup sugar)
- dark chocolate (6 ounces dark chocolate, chopped)
- salt (1/8 teaspoon salt)
- chicory coffee (1/4 cup strongly brewed chicory coffee)
- vanilla extract (1/2 teaspoon vanilla extract)",https://www.seriouseats.com/baked-beignets-doughnuts-chicory-coffee-sauce-recipe
Bibimbap,Korean Style Bibimbap Beef,340.0,6.0,56.0,13.0,"- gochujang (1/4 cup gochujang (Korean chili paste))
- toasted sesame oil (2 tablespoons toasted sesame oil)
- sugar (2 tablespoons sugar)
- water (2 tablespoons water)
- sesame seeds (1 tablespoon toasted sesame seeds)
- garlic (2 teaspoons minced garlic)
- rice vinegar (2 teaspoons rice vinegar)",https://www.simplyrecipes.com/bibimbap-recipe-7089409
Bread pudding,Bread Pudding,1258.0,38.96,191.18,43.32,"- fresh bread crumbs (1 1/4 cups fresh bread crumbs)
- eggs (2 large eggs, seperated)
- orange zest (1 1/2 teaspoons orange zest, using a microplane)
- sugar (1/2 cup sugar)
- dark brown sugar (1/4 cup dark brown sugar)
- Orange Bitters (1/2 teaspoon orange bitters, I used Fee Bro. West Indian Orange Bitters)
- cherries (1 1/2 cups cherries, pitted and chopped)
- sugar (1/3 cup sugar)
- red wine (1/2 cup red wine)
- cherries (9 whole cherries, pitted)
- heavy whipping cream (1 cup heavy whipping cream)
- powdered sugar (1/3 cup powdered sugar)
- vanilla extract (1/2 teaspoon vanilla extract)",https://food52.com/recipes/3234-cherry-bread-pudding-jubilee
Breakfast burrito,Breakfast Burrito,366.0,22.25,21.52,19.4,"- flour tortillas (4 flour tortillas (8-inch))
- eggs (3 large eggs)
- egg whites (4 large egg whites)
- coarse salt (3/4 teaspoon coarse salt)
- olive oil (1 teaspoon olive oil)
- Jack cheese (1 cup shredded pepper Jack cheese)
- Garlic (1 cup Garlic-Pepper Sauce, thawed and drained, if necessary)",https://www.marthastewart.com/344419/breakfast-burrito
